unique_words/months,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Grand Total
120,,,,,,,,,6,1,5,1,,,1,,4,,,1,1,,1,21
121,,,,,,,,,2,3,5,,1,1,1,1,2,1,2,,,1,1,21
122,,,,,,,,,3,1,5,,2,,,1,3,,,,,,,15
123,,,,,,,,1,3,4,3,1,3,,,1,,,2,,,1,,19
124,,,,,,,,,1,1,4,2,1,2,2,1,4,2,,2,2,1,,25
125,,,,,,,,,1,,2,1,,,3,,1,1,1,,,,1,11
126,,,,,,,,,1,1,4,2,1,,1,1,1,3,1,,,,,16
127,,,,,1,,,,3,3,4,2,1,,2,2,3,4,,1,,1,1,28
128,,,,,,,,,,,6,2,,,1,1,3,1,,,,,1,15
129,,,,,,,,,2,3,4,2,1,,1,,1,1,,,,1,,16
130,,,,,,,,,,3,1,1,1,1,1,1,1,1,1,,,,,12
131,,,,,,,,,,1,4,3,,2,1,3,2,1,,2,,1,3,23
132,,,,,,,,,2,,1,,,1,2,,2,1,,1,1,1,2,14
133,,,1,,,,,,6,1,1,2,1,,1,1,,2,1,,,,,17
134,,,,,,,1,,1,1,2,2,2,1,1,1,,1,,,2,,1,16
